"week","player_1","player_1_score","player_2","player_2_score"
"1","jared","135.16","richard","103.64"
"1","aditya","139.72","stephen","130.60"
"1","larry","99.54","chinmay","85.02"
"1","kuan","137.14","kevin","105.22"
"1","justin","123.14","daniel","79.60"
"2","jared","128.46","larry","104.74"
"2","aditya","107.14","richard","128.90"
"2","stephen","68.60","daniel","104.24"
"2","kuan","116.26","chinmay","83.70"
"2","justin","87.16","kevin","117.44"
"3","jared","171.92","kuan","116.48"
"3","aditya","147.82","larry","124.70"
"3","stephen","71.44","richard","114.72"
"3","justin","138.38","chinmay","150.20"
"3","kevin","94.60","daniel","103.46"
"4","jared","91.96","justin","103.06"
"4","aditya","108.04","kuan","103.76"
"4","stephen","93.08","larry","84.38"
"4","richard","81.44","daniel","99.32"
"4","kevin","77.24","chinmay","104.58"
"5","jared","87.44","kevin","118.56"
"5","aditya","93.50","justin","113.38"
"5","stephen","86.84","kuan","120.66"
"5","richard","135.14","larry","112.12"
"5","chinmay","114.64","daniel","98.74"
"6","jared","78.50","chinmay","123.08"
"6","aditya","131.78","kevin","94.80"
"6","stephen","85.28","justin","121.26"
"6","richard","131.92","kuan","99.50"
"6","larry","116.24","daniel","159.90"
"7","jared","120.28","daniel","168.94"
"7","aditya","120.20","chinmay","108.82"
"7","stephen","83.80","kevin","110.44"
"7","richard","120.58","justin","120.88"
"7","larry","104.40","kuan","136.30"
"8","jared","130.82","aditya","123.94"
"8","stephen","126.16","chinmay","103.04"
"8","richard","94.74","kevin","109.74"
"8","larry","84.70","justin","113.70"
"8","kuan","103.58","daniel","83.98"
"9","jared","131.62","stephen","136.98"
"9","aditya","119.06","daniel","115.24"
"9","richard","155.66","chinmay","101.82"
"9","larry","122.74","kevin","90.00"
"9","kuan","127.16","justin","113.04"
"10","jared","115.52","richard","91.58"
"10","aditya","103.36","stephen","122.52"
"10","larry","83.98","chinmay","97.04"
"10","kuan","113.96","kevin","121.46"
"10","justin","99.62","daniel","93.86"
"11","jared","84.28","larry","54.06"
"11","aditya","108.88","richard","108.58"
"11","stephen","105.88","daniel","108.28"
"11","kuan","101.04","chinmay","74.82"
"11","justin","93.08","kevin","45.02"
"12","jared","131.52","kuan","155.74"
"12","aditya","131.70","larry","107.90"
"12","stephen","97.64","richard","78.62"
"12","justin","91.70","chinmay","82.74"
"12","kevin","95.50","daniel","91.32"
